"","","",""
"","순서","단어","뜻"
"","672","take","가져가다"
"","673","talk","말하다"
"","674","tall","키 큰"
"","675","tape","테이프"
"","676","taste","맛보다"
"","677","taxi","택시"
"","678","tea","차"
"","679","teach","가르치다"
"","680","team","팀, 조"
"","681","telephone","전화"
"","682","television","텔레비젼"
"","683","tell","말하다"
"","684","temple","절, 사원"
"","685","tennis","테니스"
"","686","test","시험"
"","687","than","~보다"
"","688","thank","~에게 감사하다"
"","689","that","저것"
"","690","then","그리고나서,그러면"
"","691","there","거기에"
"","692","they","그들은"
"","693","thick","두꺼운, 빽빽한"
"","694","thin","얇은"
"","695","thing","것,물건"
"","696","think","생각하다"
"","697","thirsty","목마른"
"","698","this","이것"
"","699","this","이것"
"","700","thousand","천"
"","701","through","통과하여"
"","702","throw","던지다"
"","703","ticket","표"
"","704","tie","넥타이, 묶다"
"","705","tiger","호랑이"
"","706","till","~까지"
"","707","time","시간"
"","708","tired","피곤한"
"","709","to","~에게, 로"
"","710","today","오늘"
"","711","together","함께"
"","712","tomato","토마토"
"","713","tomorrow","내일"
"","714","tonight","오늘밤"
"","715","too","역시, 또한"
"","716","tooth","이(치아)"
"","717","top","꼭대기"
"","718","touch","만지다"
"","719","town","읍, 마을"
"","720","toy","장난감"
"","721","train","기차"
"","722","travel","여행하다"
"","723","tree","나무"
"","724","trip","여행"
"","725","truck","트럭"
"","726","try","해보다,시험하다"
"","727","tulip","튤립"
"","728","turn","돌다, 회전시키다"
"","729","twice","두 번"
"","730","umbrella","우산"
"","731","uncle","삼촌"
"","732","under","아래에"
"","733","understand","이해하다"
"","734","until","~까지"
"","735","up","위로"
"","736","use","사용하다"
"","737","usual","평소의"
"","738","vacation","휴가"
"","739","vegetable","야채"
"","740","very","매우"
"","741","video","비디오"
"","742","village","마을"
"","743","violin","바이올린"
"","744","visit","방문하다"
"","745","wait","기다리다"
"","746","wake","깨우다"
"","747","walk","걷다"
"","748","wall","벽"
"","749","want","원하다"
"","750","war","전쟁"
"","751","warm","따뜻한"
"","752","wash","씻다"
"","753","waste","낭비하다"
"","754","watch","지켜보다"
"","755","water","물"
"","756","way","길, 방법"
"","757","we","우리, 우리는"
"","758","weak","약한"
"","759","wear","입다"
"","760","weather","날씨"
"","761","week","주, 한주"
"","762","welcome","환영하다"
"","763","well","우물"
"","764","west","서쪽"
"","765","wet","젖은"
"","766","what","무엇"
"","767","when","언제"
"","768","where","어디에"
"","769","which","어떤 것"
"","770","white","하얀색(의)"
"","771","who","누구"
"","772","why","왜"
"","773","wide","넓은"
"","774","will","~할 것이다"
"","775","win","이기다"
"","776","wind","바람"
"","777","window","창문"
"","778","wing","날개"
"","779","winter","겨울"
"","780","with","함께, 가지고"
"","781","woman","여자"
"","782","wonder","놀랄만한"
"","783","wood","목재(나무)"
"","784","word","단어"
"","785","work","일하다"
"","786","world","세상"
"","787","write","쓰다"
"","788","wrong","나쁜. 옳지 못한"
"","789","yeah","정말, 그래"
"","790","year","해, 년"
"","791","yellow","노란색의"
"","792","yes","예, 그렇습니다"
"","793","yes","예"
"","794","yesterday","어제"
"","795","yet","아직"
"","796","you","너, 너희들"
"","797","young","젊은"
"","798","zero","영,0"
"","799","zoo","동물원"
"","800","1","사실, 참된"
"","","",""
"","","",""
